Name;CategoryDSK;Agriculture;iLUC;FoodProcessing;Packaging;Transport;Retail;CO2;CategoryGPC
Blueberries, raw;Fruits;1,76;0,94;0,00;0,14;0,05;0,01;2,91;Fruits - unprepared/unprocessed (fresh)
Blackberry, raw;Fruits;0,31;0,14;0,00;0,14;0,30;0,01;0,91;Fruits - unprepared/unprocessed (fresh)
Rose hip, raw;Fruits;0,19;0,03;0,00;0,14;0,27;0,01;0,65;Fruits - unprepared/unprocessed (fresh)
Elderberry, raw;Fruits;0,31;0,14;0,00;0,14;0,30;0,01;0,91;Fruits - unprepared/unprocessed (fresh)
Currant, red, raw;Fruits;0,25;0,08;0,00;0,14;0,05;0,01;0,53;Fruits - unprepared/unprocessed (fresh)
Gooseberry, raw;Fruits;0,21;0,09;0,00;0,14;0,40;0,01;0,85;Fruits - unprepared/unprocessed (fresh)
Strawberries, frozen, unsweetened;Fruit/vegetable products;0,07;0,02;0,01;0,06;0,79;0,03;0,98;Fruits/vegetables/nuts/seeds prepared/processed
Cranberry, raw;Fruits;0,15;0,03;0,00;0,14;0,54;0,01;0,87;Fruits - unprepared/unprocessed (fresh)
Blueberry, frozen, unsweetened;Fruit/vegetable products;0,16;0,05;0,06;0,06;0,66;0,03;1,02;Fruits/vegetables/nuts/seeds prepared/processed
Raspberry, frozen;Fruit/vegetable products;0,17;0,15;0,15;0,06;0,30;0,03;0,86;Fruits/vegetables/nuts/seeds prepared/processed
Cheese, Cream, 60 % fidm.;Milk/eggs/substitute products;4,46;0,46;2,33;0,35;0,12;0,00;7,72;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Cheese, Brie, 45 % fidm.;Milk/eggs/substitute products;2,67;0,15;-0,37;0,35;0,11;0,00;2,92;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Cheese, cottage, 20 % fidm.;Milk/eggs/substitute products;2,67;0,15;-0,37;0,35;0,11;0,00;2,92;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Bulgur, parboiled, raw;Cereal/grain/pulse products;0,58;0,08;0,16;0,20;0,12;0,01;1,15;Cereal/grain/pulse products
Sweetcorn, kernels, canned;Fruit/vegetable products;0,05;0,03;0,14;0,32;0,07;0,01;0,61;Fruits/vegetables/nuts/seeds prepared/processed
Rice, parboiled, raw;Cereal/grain/pulse products;0,35;0,16;0,16;0,20;0,40;0,01;1,28;Cereal/grain/pulse products
Quinoa, black, raw;Cereal/grain/pulse products;1,04;0,63;0,00;0,20;0,60;0,01;2,49;Cereal/grain/pulse products
Pepper, black;Seasonings/preservatives/extracts;0,77;0,27;0,00;2,72;0,54;0,01;4,30;Seasonings/preservatives/extracts
Mustard, yellow, ready made;Seasonings/preservatives/extracts;0,20;0,12;0,47;0,78;0,17;0,01;1,76;Seasonings/preservatives/extracts
Curry powder;Seasonings/preservatives/extracts;1,46;0,35;0,05;2,72;0,11;0,01;4,70;Seasonings/preservatives/extracts
BITTER, Gammel Dansk Bitter Dram;Beverages;1,10;-0,05;-0,11;0,37;0,72;0,01;2,04;Beverages
Brandy, cognac;Beverages;0,99;-0,02;4,80;0,37;2,07;0,01;8,22;Beverages
Vodka;Beverages;1,10;-0,05;-0,11;0,37;0,72;0,01;2,04;Beverages
Aquavit, 40 % vol., average values;Beverages;1,10;-0,05;-0,11;0,37;0,72;0,01;2,04;Beverages
Plum, raw;Fruits;0,27;0,10;0,00;0,14;0,05;0,01;0,58;Fruits - unprepared/unprocessed (fresh)
Cherry, raw;Fruits;0,26;0,07;0,00;0,14;0,26;0,01;0,75;Fruits - unprepared/unprocessed (fresh)
Chestnut, raw;Fruit/vegetable products;0,76;0,13;0,00;0,14;0,67;0,01;1,71;Fruits/vegetables/nuts/seeds prepared/processed
Prune, dried plum;Fruit/vegetable products;0,72;0,08;0,41;0,04;0,60;0,01;1,87;Fruits/vegetables/nuts/seeds prepared/processed
Apricot, dried;Fruit/vegetable products;0,72;0,08;0,41;0,04;0,60;0,01;1,87;Fruits/vegetables/nuts/seeds prepared/processed
Apricot, raw;Fruits;0,17;0,05;0,00;0,14;0,67;0,01;1,05;Fruits - unprepared/unprocessed (fresh)
Peach, raw;Fruits;0,11;0,03;0,00;0,14;0,67;0,01;0,96;Fruits - unprepared/unprocessed (fresh)
Nectarine, raw;Fruits;0,11;0,03;0,00;0,14;0,67;0,01;0,96;Fruits - unprepared/unprocessed (fresh)
Avocado, raw;Fruits;0,32;0,06;0,00;0,14;0,54;0,01;1,07;Fruits - unprepared/unprocessed (fresh)
Sugar, sucrose, white;Candy/sugar products;1,30;-0,09;0,47;0,20;0,11;0,01;2,00;Confectionery/sugar sweetening products
Sugar, brown;Candy/sugar products;1,18;-0,06;0,49;0,20;0,10;0,01;1,92;Confectionery/sugar sweetening products
Chocolate, milk;Candy/sugar products;1,83;0,34;2,52;0,38;0,11;0,01;5,18;Confectionery/sugar sweetening products
Nougat;Bread/bakery products;2,07;0,49;1,62;0,67;0,11;0,01;4,97;Bread/bakery products
Chewing gum, no sugar added, all types;Candy/sugar products;0,00;0,25;4,36;1,29;0,05;0,01;5,96;Confectionery/sugar sweetening products
Toffees, mixed;Candy/sugar products;0,93;0,07;1,15;0,47;0,11;0,01;2,74;Confectionery/sugar sweetening products
Chocolate, bitter;Candy/sugar products;1,25;1,28;0,11;0,49;0,59;0,01;3,74;Confectionery/sugar sweetening products
Liquorice, salt;Candy/sugar products;0,75;-0,01;0,97;0,26;0,11;0,01;2,09;Confectionery/sugar sweetening products
Fruit gums;Candy/sugar products;0,78;-0,01;0,88;0,26;0,11;0,01;2,02;Confectionery/sugar sweetening products
Banana, raw;Fruits;0,21;0,02;0,00;0,14;0,60;0,01;0,98;Fruits - unprepared/unprocessed (fresh)
Lemon, raw;Fruits;0,09;0,03;0,00;0,14;0,68;0,01;0,94;Fruits - unprepared/unprocessed (fresh)
Watermelon, raw;Fruits;0,03;0,01;0,00;0,00;0,73;0,01;0,78;Fruits - unprepared/unprocessed (fresh)
Orange, raw;Fruits;0,10;0,02;0,00;0,06;0,61;0,01;0,81;Fruits - unprepared/unprocessed (fresh)
Lime, raw;Fruits;0,09;0,03;0,00;0,06;0,68;0,01;0,87;Fruits - unprepared/unprocessed (fresh)
Pineapple, raw;Fruits;0,09;0,02;0,00;0,00;0,52;0,01;0,65;Fruits - unprepared/unprocessed (fresh)
Mango, raw;Fruits;0,18;0,06;0,00;0,14;0,54;0,01;0,93;Fruits - unprepared/unprocessed (fresh)
Grapefruit, raw;Fruits;0,09;0,02;0,00;0,14;0,59;0,01;0,86;Fruits - unprepared/unprocessed (fresh)
Tangerine, raw;Fruits;0,08;0,02;0,00;0,14;0,71;0,01;0,97;Fruits - unprepared/unprocessed (fresh)
Kiwi fruit, raw;Fruits;0,16;0,03;0,00;0,14;0,59;0,01;0,93;Fruits - unprepared/unprocessed (fresh)
Turkey, breast, boiled/smoked, sliced;Meat/poultry;2,16;0,54;0,19;0,02;0,10;0,00;3,02;Meat/poultry/other animals
Turkey, flesh only, raw;Meat/poultry;2,40;0,61;-0,11;0,14;0,14;0,00;3,18;Meat/poultry/other animals
Turkey, mince, 5-10% fat, raw;Meat/poultry;2,24;0,60;0,26;0,14;0,11;0,00;3,34;Meat/poultry/other animals
Milk, whole, 3.5 % fat;Milk/eggs/substitute products;0,48;0,06;0,06;0,08;0,11;0,00;0,79;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Milk, partly skimmed, 1.5 % fat;Milk/eggs/substitute products;0,50;0,04;-0,13;0,08;0,11;0,00;0,61;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Milk, skimmed, 0.5 % fat;Milk/eggs/substitute products;0,51;0,03;-0,26;0,08;0,11;0,00;0,48;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Milk, skimmed, with chocolate (UHT);Milk/eggs/substitute products;0,55;0,06;-0,15;0,08;0,11;0,01;0,65;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Cream, whipping, 38 % fat;Milk/eggs/substitute products;0,17;0,17;1,61;0,08;0,09;0,00;2,14;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Veal, medium fat, raw;Meat/poultry;43,77;8,48;-2,66;0,14;0,63;0,00;50,36;Meat/poultry/other animals
Peanut butter;Prepared/preserved foods;0,49;0,43;1,39;0,42;0,11;0,01;2,85;Prepared/preserved foods
Sunflower oil;Oils/fats edible;1,95;0,87;0,37;0,56;0,00;0,01;3,76;Oils/fats edible
Olive oil;Oils/fats edible;1,81;0,64;0,01;0,56;0,79;0,01;3,83;Oils/fats edible
Oil, rape seed (no eruca acid);Oils/fats edible;2,46;0,47;0,33;0,56;0,00;0,01;3,84;Oils/fats edible
Onions, chopped and deepfried;Fruit/vegetable products;0,37;0,25;2,49;1,04;0,15;0,01;4,30;Fruits/vegetables/nuts/seeds prepared/processed
Potato crisps, coarse;Prepared/preserved foods;0,59;0,16;3,03;0,26;0,12;0,01;4,17;Prepared/preserved foods
Tofu, soy bean curd;Prepared/preserved foods;0,18;0,11;0,91;0,26;0,25;0,00;1,71;Prepared/preserved foods
Cabbage, red, canned, no sugar added;Fruit/vegetable products;0,15;0,03;0,20;0,22;0,11;0,01;0,73;Fruits/vegetables/nuts/seeds prepared/processed
Tomatojuice, canned;Beverages;0,13;0,02;0,20;0,22;0,68;0,01;1,26;Beverages
Gherkin, pickled;Fruit/vegetable products;0,26;0,01;0,45;0,64;0,20;0,01;1,58;Fruits/vegetables/nuts/seeds prepared/processed
Potatoes, mashed, instant powder with dry milk;Fruit/vegetable products;1,95;0,22;2,11;0,58;0,13;0,01;5,00;Fruits/vegetables/nuts/seeds prepared/processed
Pepper, hot chili, canned;Fruit/vegetable products;0,47;0,03;0,21;0,22;0,60;0,01;1,54;Fruits/vegetables/nuts/seeds prepared/processed
Cucumber, large, pickled;Fruit/vegetable products;0,26;0,01;0,45;0,64;0,20;0,01;1,58;Fruits/vegetables/nuts/seeds prepared/processed
Tomato, peeled, canned;Fruit/vegetable products;0,13;0,02;0,20;0,22;0,68;0,01;1,26;Fruits/vegetables/nuts/seeds prepared/processed
Beet, red, canned;Fruit/vegetable products;0,27;0,02;0,20;0,22;0,11;0,01;0,83;Fruits/vegetables/nuts/seeds prepared/processed
Potato, canned;Fruit/vegetable products;0,31;0,02;0,20;0,22;0,12;0,01;0,89;Fruits/vegetables/nuts/seeds prepared/processed
Potato crisps;Prepared/preserved foods;0,59;0,16;3,03;0,26;0,12;0,01;4,17;Prepared/preserved foods
Bamboo shoots, canned, nonsalted;Fruit/vegetable products;0,27;0,06;0,24;0,22;0,40;0,01;1,21;Fruits/vegetables/nuts/seeds prepared/processed
Mushroom, canned;Fruit/vegetable products;0,02;0,01;0,20;0,22;0,24;0,01;0,70;Fruits/vegetables/nuts/seeds prepared/processed
French fries, deepfried, fast food;Fruit/vegetable products;0,38;0,11;1,97;0,26;0,12;0,00;2,84;Fruits/vegetables/nuts/seeds prepared/processed
Tomato paste, concentrated;Fruit/vegetable products;0,44;0,06;0,51;0,78;0,68;0,01;2,48;Fruits/vegetables/nuts/seeds prepared/processed
Tomato ketchup, bottled;Seasonings/preservatives/extracts;0,42;0,04;1,02;0,42;0,11;0,01;2,01;Seasonings/preservatives/extracts
Beans, baked i tomato sauce, canned;Fruit/vegetable products;0,30;0,09;0,27;0,63;0,22;0,01;1,53;Fruits/vegetables/nuts/seeds prepared/processed
