Name;CategoryDSK;Agriculture;iLUC;FoodProcessing;Packaging;Transport;Retail;CO2;CategoryGPC
Water, tap, drinking, average values;Beverages;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Beverages
Melon, honeydew, raw;Fruits;0,10;0,02;0,00;0,00;0,58;0,01;0,71;Fruits - unprepared/unprocessed (fresh)
Lentils, sprouted, raw;Vegetables;0,85;0,32;0,00;0,14;0,39;0,01;1,70;Vegetables
Pepper, sweet, red, raw;Vegetables;0,25;0,03;0,00;0,14;0,58;0,01;1,02;Vegetables
Tomato, ripe, raw, origin unknown;Vegetables;0,07;0,01;0,00;0,14;0,48;0,01;0,70;Vegetables
Squash, raw;Vegetables;0,14;0,04;0,00;0,06;0,58;0,01;0,83;Vegetables
Aubergine, raw;Vegetables;0,16;0,02;0,00;0,14;0,65;0,01;0,97;Vegetables
Tomato, dried;Vegetables;0,91;0,09;0,00;0,26;0,68;0,01;1,95;Vegetables
Pumpkin, raw;Vegetables;0,14;0,04;0,00;0,06;0,58;0,01;0,83;Vegetables
Cucumber, raw;Vegetables;0,05;0,01;0,00;0,14;0,35;0,01;0,56;Vegetables
Gherkin cucumber, raw;Vegetables;0,05;0,01;0,00;0,14;0,35;0,01;0,56;Vegetables
Pepper, hot chili, raw;Vegetables;0,25;0,03;0,00;0,14;0,58;0,01;1,02;Vegetables
Beef, topside, cap off, raw;Meat/poultry;39,65;7,68;-2,41;0,14;0,63;0,00;45,69;Meat/poultry/other animals
Beef, fillet, defatted, raw;Meat/poultry;133,45;25,85;-8,11;0,14;0,63;0,00;151,95;Meat/poultry/other animals
Beef, mince, 10-15% fat, raw;Meat/poultry;28,58;5,46;-1,78;0,14;0,12;0,00;32,51;Meat/poultry/other animals
Beef, rump, raw;Meat/poultry;39,65;7,68;-2,41;0,14;0,63;0,00;45,69;Meat/poultry/other animals
Beef, mince, 15-20% fat, raw;Meat/poultry;26,90;5,16;-1,47;0,14;0,12;0,00;30,84;Meat/poultry/other animals
Beef, T-bone steak, raw;Meat/poultry;70,72;13,70;-4,30;0,14;0,63;0,00;80,89;Meat/poultry/other animals
Beef, mince, 5-10% fat, raw;Meat/poultry;30,26;5,75;-2,09;0,14;0,12;0,00;34,19;Meat/poultry/other animals
Beer, lager, alc. 4.4 % by vol.;Beverages;0,07;0,05;0,24;0,16;0,07;0,01;0,60;Beverages
Beer, Danish household, low alcohol;Beverages;0,07;0,05;0,24;0,16;0,07;0,01;0,60;Beverages
Beer, strong, alc. 7.6 % by vol.;Beverages;0,07;0,05;0,24;0,16;0,07;0,01;0,60;Beverages
Biscuit, sweet;Bread/bakery products;0,59;0,12;1,22;0,67;0,14;0,01;2,75;Bread/bakery products
Biscuit, wholemeal, digestive type;Bread/bakery products;0,54;0,14;1,23;0,67;0,14;0,01;2,73;Bread/bakery products
Butter cookie, wheat, Danish, industrially produced;Bread/bakery products;0,63;0,14;1,42;0,67;0,11;0,01;2,98;Bread/bakery products
American inspired cookie;Bread/bakery products;0,54;0,14;1,23;0,67;0,14;0,01;2,73;Bread/bakery products
Granola bar;Bread/bakery products;1,20;0,43;0,45;0,67;0,13;0,01;2,88;Bread/bakery products
Wafer sticks;Bread/bakery products;1,38;0,11;0,21;0,22;0,16;0,01;2,10;Bread/bakery products
Bread-crumbs;Bread/bakery products;0,58;0,07;0,42;0,04;0,14;0,01;1,26;Bread/bakery products
Crispbread, knackebrot, rye, coarse;Bread/bakery products;0,41;0,05;0,42;0,04;0,14;0,01;1,08;Bread/bakery products
Wheat bread, for toasting, industrially produced;Bread/bakery products;0,38;0,04;0,16;0,04;0,10;0,01;0,74;Bread/bakery products
Bread, white, for sausages;Bread/bakery products;0,38;0,04;0,16;0,04;0,10;0,01;0,74;Bread/bakery products
Bread, white, roll, coarse grain;Bread/bakery products;0,38;0,04;0,16;0,04;0,10;0,01;0,74;Bread/bakery products
Rye bread, dark, whole grains, industrially produced;Bread/bakery products;0,27;0,03;0,17;0,04;0,09;0,01;0,62;Bread/bakery products
Rye bread crumbs with brown sugar, average values;Bread/bakery products;0,83;-0,01;0,55;0,04;0,14;0,01;1,56;Bread/bakery products
Corn flakes, average values;Cereal/grain/pulse products;0,43;0,02;0,37;0,58;0,11;0,01;1,51;Cereal/grain/pulse products
Breakfast cereal, müsli, average values;Cereal/grain/pulse products;0,54;0,14;0,38;0,58;0,11;0,01;1,76;Cereal/grain/pulse products
Breakfast cereal, Guldkorn;Cereal/grain/pulse products;0,75;0,05;0,61;0,58;0,11;0,01;2,12;Cereal/grain/pulse products
Breakfast cereal, Havrefras;Cereal/grain/pulse products;0,44;0,12;0,43;0,58;0,11;0,01;1,70;Cereal/grain/pulse products
Butter, salt added;Milk/eggs/substitute products;0,12;0,34;3,16;0,24;0,07;0,00;3,92;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Blended spread, 75% fat;Milk/eggs/substitute products;0,05;0,35;3,08;0,24;0,08;0,00;3,80;Milk/butter/cream/yougurts/cheese/eggs/substitutes
Plain cake, chocolate cake;Bread/bakery products;0,57;0,12;0,92;0,41;0,13;0,00;2,15;Bread/bakery products
Danish pastry, kanelsnegl;Bread/bakery products;0,47;0,10;1,04;0,04;0,11;0,01;1,77;Bread/bakery products
Plain cake, average values;Bread/bakery products;0,57;0,12;0,92;0,41;0,13;0,00;2,15;Bread/bakery products
Cream pastry, layer cake;Bread/bakery products;0,57;0,12;0,92;0,41;0,13;0,00;2,15;Bread/bakery products
Cookie, truffle product / unbaked, industrially produced;Bread/bakery products;0,70;0,38;0,96;0,47;0,11;0,01;2,63;Bread/bakery products
Bacon, frying, raw;Meat/poultry;3,89;0,68;-0,30;0,14;0,39;0,00;4,80;Meat/poultry/other animals
Sausage, salami;Meat/poultry;2,68;0,60;1,60;0,02;0,15;0,01;5,06;Meat/poultry/other animals
Pork, ham, boiled, sliced;Meat/poultry;2,50;0,43;0,32;0,02;0,10;0,00;3,38;Meat/poultry/other animals
Roastbeef, sliced;Meat/poultry;39,65;7,68;-1,62;0,02;0,11;0,00;45,84;Meat/poultry/other animals
Pork, sausage, Danish, raw;Meat/poultry;1,57;0,27;0,13;0,14;0,10;0,00;2,21;Meat/poultry/other animals
Pork, liver paste, Danish;Meat/poultry;1,68;0,31;0,22;1,18;0,13;0,00;3,51;Meat/poultry/other animals
Pork, flank, spiced, cooked;Meat/poultry;2,50;0,43;0,32;0,02;0,10;0,00;3,38;Meat/poultry/other animals
Pork sausage, Thüringer bratwurst;Meat/poultry;1,14;0,20;0,37;0,02;0,09;0,00;1,81;Meat/poultry/other animals
Chicken, breast, boiled, sliced;Meat/poultry;2,33;0,62;0,17;0,02;0,10;0,00;3,25;Meat/poultry/other animals
Chicken, leg, flesh and skin, raw;Meat/poultry;0,93;0,25;-0,03;0,14;0,10;0,00;1,39;Meat/poultry/other animals
Chicken, drumstick, flesh and skin, raw;Meat/poultry;0,88;0,24;-0,03;0,14;0,10;0,00;1,32;Meat/poultry/other animals
Chicken, breast, flesh and skin, raw;Meat/poultry;2,59;0,69;-0,09;0,14;0,11;0,00;3,44;Meat/poultry/other animals
Chicken, sausage;Meat/poultry;0,83;0,21;0,28;0,02;0,09;0,00;1,44;Meat/poultry/other animals
Chicken, hen, flesh and skin, raw;Meat/poultry;1,60;0,43;-0,06;0,14;0,11;0,00;2,22;Meat/poultry/other animals
Tea, leaves;Beverages;2,50;1,61;1,87;1,94;0,47;0,01;8,41;Beverages
Coffee, instant, powder;Beverages;2,35;1,54;2,43;3,21;0,58;0,01;10,11;Beverages
Coffee bean, roasted, ground;Beverages;1,30;0,84;0,21;0,24;0,58;0,01;3,18;Beverages
Cocoa, instant, without milk, powder;Beverages;2,75;2,84;-5,52;4,32;0,58;0,01;4,98;Beverages
Cocoa, powder;Beverages;2,75;2,84;-5,52;4,32;0,58;0,01;4,98;Beverages
Lamb, flank, spiced, cooked;Meat/poultry;22,72;5,89;-3,99;0,02;0,10;0,00;24,75;Meat/poultry/other animals
Sausage, beef salami;Meat/poultry;28,01;5,56;0,38;0,02;0,14;0,01;34,11;Meat/poultry/other animals
Pork, saddle, smoked, boiled;Meat/poultry;2,50;0,43;0,32;0,02;0,10;0,00;3,38;Meat/poultry/other animals
Salad dressing, oil and vinegar;Seasonings/preservatives/extracts;0,10;0,30;3,07;0,42;0,11;0,01;4,02;Seasonings/preservatives/extracts
Salad dressing, thousand island;Seasonings/preservatives/extracts;0,16;0,52;3,63;0,42;0,12;0,01;4,86;Seasonings/preservatives/extracts
Duck, flesh only, raw;Meat/poultry;1,60;0,43;0,00;0,14;0,11;0,00;2,27;Meat/poultry/other animals
Goose, flesh only, raw;Meat/poultry;1,60;0,43;0,00;0,14;0,11;0,00;2,27;Meat/poultry/other animals
Mackerel mayonnaise salad;Seasonings/preservatives/extracts;0,13;0,40;3,31;0,24;0,10;0,00;4,18;Seasonings/preservatives/extracts
